IdFeedBack,Prediction
S01_Sess01_FB001,0.823024827355712
S01_Sess01_FB002,0.913613214730607
S01_Sess01_FB003,0.611329668620264
S01_Sess01_FB004,0.852862595111758
S01_Sess01_FB005,0.764793000984895
S01_Sess01_FB006,0.776572184305622
S01_Sess01_FB007,0.735470030039959
S01_Sess01_FB008,0.829698326643123
S01_Sess01_FB009,0.849172027950727
S01_Sess01_FB010,0.747068364298153
S01_Sess01_FB011,0.889733618951778
S01_Sess01_FB012,0.7024870456543
S01_Sess01_FB013,0.585743748554412
S01_Sess01_FB014,0.864248665071743
S01_Sess01_FB015,0.746041689911472
S01_Sess01_FB016,0.568795167224291
S01_Sess01_FB017,0.822473339865452
S01_Sess01_FB018,0.91685699646127
S01_Sess01_FB019,0.676702262706025
S01_Sess01_FB020,0.197458157930035
S01_Sess01_FB021,0.549964803545456
S01_Sess01_FB022,0.768617328518369
S01_Sess01_FB023,0.851753589867192
S01_Sess01_FB024,0.958227235222636
S01_Sess01_FB025,0.968540177778256
S01_Sess01_FB026,0.875216021199057
S01_Sess01_FB027,0.817455132114098
S01_Sess01_FB028,0.298902408131933
S01_Sess01_FB029,0.851180092366466
S01_Sess01_FB030,0.926554050634826
S01_Sess01_FB031,0.859205741524932
S01_Sess01_FB032,0.847261791537977
S01_Sess01_FB033,0.792037263887329
S01_Sess01_FB034,0.889377410411858
S01_Sess01_FB035,0.876989972342623
S01_Sess01_FB036,0.885914551016762
S01_Sess01_FB037,0.859653401033556
S01_Sess01_FB038,0.614104690872382
S01_Sess01_FB039,0.75387325991088
S01_Sess01_FB040,0.614300406883207
S01_Sess01_FB041,0.674576355792355
S01_Sess01_FB042,0.57452488147208
S01_Sess01_FB043,0.496870044273102
S01_Sess01_FB044,0.397744376735911
S01_Sess01_FB045,0.650829987937624
S01_Sess01_FB046,0.674065949426037
S01_Sess01_FB047,0.593437575141055
S01_Sess01_FB048,0.244884866436042
S01_Sess01_FB049,0.402119188163567
S01_Sess01_FB050,0.633916761725869
S01_Sess01_FB051,0.48061626009266
S01_Sess01_FB052,0.753146459676157
S01_Sess01_FB053,0.863554699940495
S01_Sess01_FB054,0.853818497689195
S01_Sess01_FB055,0.803563976672514
S01_Sess01_FB056,0.576859833157071
S01_Sess01_FB057,0.772100883608002
S01_Sess01_FB058,0.857795553943589
S01_Sess01_FB059,0.630142075847144
S01_Sess01_FB060,0.788577883876369
S01_Sess02_FB001,0.691216075863646
S01_Sess02_FB002,0.895524382822303
S01_Sess02_FB003,0.749650639038828
S01_Sess02_FB004,0.914117111913158
S01_Sess02_FB005,0.721696355887713
S01_Sess02_FB006,0.912970605973665
S01_Sess02_FB007,0.759702683328767
S01_Sess02_FB008,0.7272049219848
S01_Sess02_FB009,0.922620518161948
S01_Sess02_FB010,0.801048513645195
S01_Sess02_FB011,0.658054306807513
S01_Sess02_FB012,0.382912941464656
S01_Sess02_FB013,0.707027448834388
S01_Sess02_FB014,0.705884721412226
S01_Sess02_FB015,0.640618576221763
S01_Sess02_FB016,0.453650080783723
S01_Sess02_FB017,0.530107018202675
S01_Sess02_FB018,0.586572187380937
S01_Sess02_FB019,0.843076075758306
S01_Sess02_FB020,0.6960166262909
S01_Sess02_FB021,0.723481518995273
S01_Sess02_FB022,0.880121158922887
S01_Sess02_FB023,0.815175165108518
S01_Sess02_FB024,0.879821796806365
S01_Sess02_FB025,0.678240526483399
S01_Sess02_FB026,0.936155192322276
S01_Sess02_FB027,0.923215694226645
S01_Sess02_FB028,0.852695092903029
S01_Sess02_FB029,0.876976149836232
S01_Sess02_FB030,0.825064965120972
S01_Sess02_FB031,0.895162565790277
S01_Sess02_FB032,0.934118435007532
S01_Sess02_FB033,0.87367058380796
S01_Sess02_FB034,0.878771798732202
S01_Sess02_FB035,0.81424052929795
S01_Sess02_FB036,0.900029231686903
S01_Sess02_FB037,0.389006576499848
S01_Sess02_FB038,0.855234094409962
S01_Sess02_FB039,0.824350460679246
S01_Sess02_FB040,0.854220804813757
S01_Sess02_FB041,0.206208579210989
S01_Sess02_FB042,0.596269539614062
S01_Sess02_FB043,0.647620999998382
S01_Sess02_FB044,0.906761674499411
S01_Sess02_FB045,0.893184596219002
S01_Sess02_FB046,0.723977448109402
S01_Sess02_FB047,0.93912542818222
S01_Sess02_FB048,0.65424613626136
S01_Sess02_FB049,0.553707689935225
S01_Sess02_FB050,0.592488840863005
S01_Sess02_FB051,0.584996980998833
S01_Sess02_FB052,0.482421365918937
S01_Sess02_FB053,0.643574405280267
S01_Sess02_FB054,0.589346325359546
S01_Sess02_FB055,0.659203064812911
S01_Sess02_FB056,0.741448830708634
S01_Sess02_FB057,0.894839143737365
S01_Sess02_FB058,0.209663502807599
S01_Sess02_FB059,0.801383560908255
S01_Sess02_FB060,0.625083944961039
S01_Sess03_FB001,0.329961798669636
S01_Sess03_FB002,0.832212961161571
S01_Sess03_FB003,0.896479262171924
S01_Sess03_FB004,0.938237542733342
S01_Sess03_FB005,0.727975466972987
S01_Sess03_FB006,0.720778504741963
S01_Sess03_FB007,0.740418349589692
S01_Sess03_FB008,0.875554733067112
S01_Sess03_FB009,0.875427081191822
S01_Sess03_FB010,0.746702210024823
S01_Sess03_FB011,0.92828261602464
S01_Sess03_FB012,0.87119246715074
S01_Sess03_FB013,0.497684841042506
S01_Sess03_FB014,0.913102568109407
S01_Sess03_FB015,0.594617860446079
S01_Sess03_FB016,0.835476980213997
